2025-10-25T14:43:40.000000000Z [inf]  Starting Container
2025-10-25T14:43:41.820146107Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO - ============================================================
2025-10-25T14:43:41.820156275Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO - 🚀 Winiswin2 v1 Enhanced 啟動中...
2025-10-25T14:43:41.820161911Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO - 📌 代碼版本: 2025-10-25-v2.0 (200個高波動率交易對 + 32核並行)
2025-10-25T14:43:41.820167361Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO - ============================================================
2025-10-25T14:43:41.820172233Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO - ✅ 配置驗證通過
2025-10-25T14:43:41.820177537Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO - 
2025-10-25T14:43:41.820182513Z [err]  📋 系統配置:
2025-10-25T14:43:41.820187224Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO -   binance_testnet: False
2025-10-25T14:43:41.820194236Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO -   trading_enabled: True
2025-10-25T14:43:41.820199981Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO -   max_positions: 3
2025-10-25T14:43:41.820204994Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO -   cycle_interval: 60
2025-10-25T14:43:41.820210211Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO -   leverage_range: 3x - 20x
2025-10-25T14:43:41.820214957Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO -   margin_range: 3.0% - 13.0%
2025-10-25T14:43:41.820219698Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO -   min_confidence: 70.0%
2025-10-25T14:43:41.820224035Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO -   log_level: INFO
2025-10-25T14:43:41.820228757Z [err]  2025-10-25 14:43:41,082 - __main__ - INFO - 
2025-10-25T14:43:41.820234062Z [err]  🔧 初始化核心組件...
2025-10-25T14:43:41.820239438Z [err]  2025-10-25 14:43:41,173 - src.clients.binance_client - INFO - ✅ Binance API 連接成功
2025-10-25T14:43:41.820243929Z [err]  2025-10-25 14:43:41,174 - src.services.data_service - INFO - 初始化數據服務...
2025-10-25T14:43:41.826996935Z [err]  2025-10-25 14:43:41,274 - src.services.data_service - INFO - 成功加載 526 個交易對
2025-10-25T14:43:41.827007238Z [err]  2025-10-25 14:43:41,274 - src.services.data_service - INFO - ✅ 已加載 526 個 USDT 永續合約
2025-10-25T14:43:41.827013666Z [err]  2025-10-25 14:43:41,274 - src.services.timeframe_scheduler - INFO - 時間框架調度器初始化: 1h=3600s, 15m=900s, 5m=60s
2025-10-25T14:43:41.827018717Z [err]  2025-10-25 14:43:41,274 - src.services.timeframe_scheduler - INFO - 智能數據管理器初始化完成
2025-10-25T14:43:41.827024315Z [err]  2025-10-25 14:43:41,274 - __main__ - INFO - ✅ 智能數據管理器已就緒
2025-10-25T14:43:41.827029523Z [err]  2025-10-25 14:43:41,274 - __main__ - INFO -    - 1h: 每小時掃描（趨勢確認）
2025-10-25T14:43:41.827034752Z [err]  2025-10-25 14:43:41,274 - __main__ - INFO -    - 15m: 每15分鐘掃描（趨勢確認）
2025-10-25T14:43:41.827052359Z [err]  2025-10-25 14:43:41,274 - __main__ - INFO -    - 5m/1m: 高頻掃描（入場信號）
2025-10-25T14:43:41.827056650Z [err]  2025-10-25 14:43:41,274 - src.services.parallel_analyzer - INFO - 並行分析器初始化: 32 個工作線程 (CPU 核心: 48)
2025-10-25T14:43:41.827061751Z [err]  2025-10-25 14:43:41,275 - src.ml.model_trainer - WARNING - 模型文件不存在: data/models/xgboost_model.pkl
2025-10-25T14:43:41.827066680Z [err]  2025-10-25 14:43:41,275 - src.ml.predictor - INFO - 未找到已訓練模型，嘗試自動訓練...
2025-10-25T14:43:41.827071068Z [err]  2025-10-25 14:43:41,275 - src.ml.data_processor - WARNING - 訓練數據文件不存在: data/trades.json
2025-10-25T14:43:41.827076233Z [err]  2025-10-25 14:43:41,276 - src.ml.model_trainer - INFO - 訓練數據不足: 0/100
2025-10-25T14:43:41.827080846Z [err]  2025-10-25 14:43:41,276 - src.ml.predictor - WARNING - ⚠️  ML 模型未就緒，將使用傳統策略
