2025-10-26T06:34:24.439559640Z [inf]  2025-10-26 06:34:14,971 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BNBUSDT LONG 信心度 56.00%
2025-10-26T06:34:24.439580573Z [inf]  2025-10-26 06:34:15,004 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ASTERUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.439587457Z [inf]  2025-10-26 06:34:15,015 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: 币安人生USDT LONG 信心度 70.00%
2025-10-26T06:34:24.439593441Z [inf]  2025-10-26 06:34:15,030 - src.strategies.ict_strategy - DEBUG - TAOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.439600100Z [inf]  2025-10-26 06:34:15,051 - src.strategies.ict_strategy - DEBUG - BLESSUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T06:34:24.439606708Z [inf]  2025-10-26 06:34:15,052 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: HYPEUSDT LONG 信心度 56.00%
2025-10-26T06:34:24.439613011Z [inf]  2025-10-26 06:34:15,064 - src.strategies.ict_strategy - DEBUG - TURTLEUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T06:34:24.439619917Z [inf]  2025-10-26 06:34:15,080 - src.strategies.ict_strategy - DEBUG - EVAAUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bearish)
2025-10-26T06:34:24.439626722Z [inf]  2025-10-26 06:34:15,123 - src.strategies.ict_strategy - DEBUG - XPINUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.439632993Z [inf]  2025-10-26 06:34:15,135 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: AIXBTUSDT LONG 信心度 52.67%
2025-10-26T06:34:24.439639447Z [inf]  2025-10-26 06:34:15,142 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: SUIUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.439645596Z [inf]  2025-10-26 06:34:15,188 - src.strategies.ict_strategy - DEBUG - FUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:neutral)
2025-10-26T06:34:24.441449192Z [inf]  2025-10-26 06:34:15,317 - src.strategies.ict_strategy - DEBUG - KGENUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.441451462Z [inf]  2025-10-26 06:34:15,190 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: 4USDT LONG 信心度 56.67%
2025-10-26T06:34:24.441459114Z [inf]  2025-10-26 06:34:15,349 - src.strategies.ict_strategy - DEBUG - LINKUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-26T06:34:24.441462142Z [inf]  2025-10-26 06:34:15,208 - src.strategies.ict_strategy - DEBUG - EDENUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.441468665Z [inf]  2025-10-26 06:34:15,354 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BLUAIUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.441470931Z [inf]  2025-10-26 06:34:15,227 - src.strategies.ict_strategy - DEBUG - APRUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.441477466Z [inf]  2025-10-26 06:34:15,230 - src.strategies.ict_strategy - DEBUG - ENAUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bearish, structure:bullish)
2025-10-26T06:34:24.441483694Z [inf]  2025-10-26 06:34:15,235 - src.strategies.ict_strategy - DEBUG - BCHUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.441490013Z [inf]  2025-10-26 06:34:15,291 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: PUMPUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.441496631Z [inf]  2025-10-26 06:34:15,304 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: AVAXUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.441502863Z [inf]  2025-10-26 06:34:15,304 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: AVNTUSDT LONG 信心度 46.67%
2025-10-26T06:34:24.441508925Z [inf]  2025-10-26 06:34:15,315 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: YBUSDT LONG 信心度 60.00%
2025-10-26T06:34:24.443008384Z [inf]  2025-10-26 06:34:15,367 - src.strategies.ict_strategy - DEBUG - 1000PEPEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.443013921Z [inf]  2025-10-26 06:34:15,381 - src.strategies.ict_strategy - DEBUG - ADAUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.443018728Z [inf]  2025-10-26 06:34:15,382 - src.strategies.ict_strategy - DEBUG - KAITOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.443023127Z [inf]  2025-10-26 06:34:15,401 - src.strategies.ict_strategy - DEBUG - TRXUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.443027047Z [inf]  2025-10-26 06:34:15,406 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: XPLUSDT LONG 信心度 60.00%
2025-10-26T06:34:24.443031338Z [inf]  2025-10-26 06:34:15,407 - src.strategies.ict_strategy - DEBUG - WLFIUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.443035466Z [inf]  2025-10-26 06:34:15,409 - src.strategies.ict_strategy - DEBUG - ZKCUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.443040262Z [inf]  2025-10-26 06:34:15,410 - src.strategies.ict_strategy - DEBUG - PENGUUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.443043827Z [inf]  2025-10-26 06:34:15,411 - src.strategies.ict_strategy - DEBUG - BIOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.443047568Z [inf]  2025-10-26 06:34:15,412 - src.strategies.ict_strategy - DEBUG - WLDUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.443051186Z [inf]  2025-10-26 06:34:15,414 - src.strategies.ict_strategy - DEBUG - FARTCOINUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.443055387Z [inf]  2025-10-26 06:34:15,433 - src.strategies.ict_strategy - DEBUG - AIAUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445120959Z [inf]  2025-10-26 06:34:15,436 - src.strategies.ict_strategy - DEBUG - MERLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445129174Z [inf]  2025-10-26 06:34:15,463 - src.strategies.ict_strategy - DEBUG - TURTLEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T06:34:24.445139994Z [inf]  2025-10-26 06:34:15,464 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: TAOUSDT LONG 信心度 70.00%
2025-10-26T06:34:24.445146923Z [inf]  2025-10-26 06:34:15,475 - src.strategies.ict_strategy - DEBUG - LTCUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445153000Z [inf]  2025-10-26 06:34:15,486 - src.strategies.ict_strategy - DEBUG - RIVERUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bearish
2025-10-26T06:34:24.445159676Z [inf]  2025-10-26 06:34:15,493 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: XPINUSDT LONG 信心度 56.00%
2025-10-26T06:34:24.445165410Z [inf]  2025-10-26 06:34:15,495 - src.strategies.ict_strategy - DEBUG - DEGOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445171645Z [inf]  2025-10-26 06:34:15,496 - src.strategies.ict_strategy - DEBUG - WIFUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T06:34:24.445177524Z [inf]  2025-10-26 06:34:15,498 - src.strategies.ict_strategy - DEBUG - BASUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445183528Z [inf]  2025-10-26 06:34:15,500 - src.strategies.ict_strategy - DEBUG - AAVEUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T06:34:24.445189496Z [inf]  2025-10-26 06:34:15,501 - src.strategies.ict_strategy - DEBUG - ENSOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.445196048Z [inf]  2025-10-26 06:34:15,511 - src.strategies.ict_strategy - DEBUG - RECALLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
