2025-10-26T08:31:17.273592558Z [inf]  2025-10-26 08:31:09,637 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: CAKEUSDT LONG 信心度 70.00%
2025-10-26T08:31:17.273598231Z [inf]  2025-10-26 08:31:09,639 - src.strategies.ict_strategy - DEBUG - SEIUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.273602514Z [inf]  2025-10-26 08:31:09,690 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: LIGHTUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.273606398Z [inf]  2025-10-26 08:31:09,705 - src.strategies.ict_strategy - DEBUG - XMRUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.273609990Z [inf]  2025-10-26 08:31:09,710 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: USELESSUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.273615998Z [inf]  2025-10-26 08:31:09,715 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ETHFIUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.273619902Z [inf]  2025-10-26 08:31:09,716 - src.strategies.ict_strategy - DEBUG - BANKUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.273623863Z [inf]  2025-10-26 08:31:09,778 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: 2ZUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.273629463Z [inf]  2025-10-26 08:31:09,801 - src.strategies.ict_strategy - DEBUG - LDOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.274463008Z [inf]  2025-10-26 08:31:09,826 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ETCUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.274476659Z [inf]  2025-10-26 08:31:09,840 - src.strategies.ict_strategy - DEBUG - PUMPBTCUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T08:31:17.274485948Z [inf]  2025-10-26 08:31:09,852 - src.strategies.ict_strategy - DEBUG - HOLOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bullish)
