2025-10-26T09:47:43.355038642Z [inf]  2025-10-26 09:47:33,721 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ETHUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.355042944Z [inf]  2025-10-26 09:47:33,675 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T09:47:43.355048897Z [inf]  2025-10-26 09:47:33,675 - src.services.data_service - DEBUG - 緩存命中: XLMUSDT 5m
2025-10-26T09:47:43.355054978Z [inf]  2025-10-26 09:47:33,678 - src.strategies.ict_strategy - DEBUG - ETHUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.356122443Z [inf]  2025-10-26 09:47:33,741 - src.strategies.ict_strategy - DEBUG - PIPPINUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-26T09:47:43.356131270Z [inf]  2025-10-26 09:47:33,723 - src.strategies.ict_strategy - DEBUG - ZECUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.356132199Z [inf]  2025-10-26 09:47:33,741 - src.strategies.ict_strategy - DEBUG - AIXBTUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.356139715Z [inf]  2025-10-26 09:47:33,742 - src.strategies.ict_strategy - DEBUG - ASTERUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.356141512Z [inf]  2025-10-26 09:47:33,724 - src.strategies.ict_strategy - DEBUG - DOGEUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.356147385Z [inf]  2025-10-26 09:47:33,745 - src.strategies.ict_strategy - DEBUG - SUIUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.356150030Z [inf]  2025-10-26 09:47:33,725 - src.strategies.ict_strategy - DEBUG - HUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T09:47:43.356154506Z [inf]  2025-10-26 09:47:33,745 - src.strategies.ict_strategy - DEBUG - BLESSUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T09:47:43.356157658Z [inf]  2025-10-26 09:47:33,734 - src.strategies.ict_strategy - DEBUG - BNBUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.356162412Z [inf]  2025-10-26 09:47:33,758 - src.strategies.ict_strategy - DEBUG - 4USDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.356167329Z [inf]  2025-10-26 09:47:33,737 - src.strategies.ict_strategy - DEBUG - COAIUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-26T09:47:43.356173292Z [inf]  2025-10-26 09:47:33,738 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BTCUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.356179485Z [inf]  2025-10-26 09:47:33,740 - src.strategies.ict_strategy - DEBUG - HYPEUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.357355732Z [inf]  2025-10-26 09:47:33,834 - src.strategies.ict_strategy - DEBUG - AVAXUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.357367055Z [inf]  2025-10-26 09:47:33,847 - src.strategies.ict_strategy - DEBUG - APRUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bearish
