2025-10-27T13:52:31.913254027Z [inf]  2025-10-27 13:52:22,336 - src.services.data_service - DEBUG - ✅ 緩存命中: RIVERUSDT 5m
2025-10-27T13:52:31.913258372Z [inf]  2025-10-27 13:52:22,541 - src.strategies.ict_strategy - DEBUG - HUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T13:52:31.913261519Z [inf]  2025-10-27 13:52:22,336 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913265665Z [inf]  2025-10-27 13:52:22,554 - src.strategies.ict_strategy - DEBUG - XPLUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913268659Z [inf]  2025-10-27 13:52:22,525 - src.strategies.ict_strategy - DEBUG - ENAUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913269620Z [inf]  2025-10-27 13:52:22,336 - src.services.data_service - DEBUG - ✅ 緩存命中: CAKEUSDT 5m
2025-10-27T13:52:31.913277247Z [inf]  2025-10-27 13:52:22,526 - src.strategies.ict_strategy - DEBUG - LINKUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913278391Z [inf]  2025-10-27 13:52:22,336 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913279675Z [inf]  2025-10-27 13:52:22,555 - src.strategies.ict_strategy - DEBUG - AIXBTUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913286155Z [inf]  2025-10-27 13:52:22,527 - src.strategies.ict_strategy - DEBUG - ✅ MAVIAUSDT LONG | 信心度: 60.0% | 趨勢: bullish/bullish/bullish
2025-10-27T13:52:31.913289258Z [inf]  2025-10-27 13:52:22,336 - src.services.data_service - DEBUG - ✅ 緩存命中: EDUUSDT 5m
2025-10-27T13:52:31.913289674Z [inf]  2025-10-27 13:52:22,612 - src.strategies.ict_strategy - DEBUG - LTCUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913290613Z [inf]  2025-10-27 13:52:22,563 - src.strategies.ict_strategy - DEBUG - GIGGLEUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-27T13:52:31.913298658Z [inf]  2025-10-27 13:52:22,624 - src.strategies.ict_strategy - DEBUG - FARTCOINUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913298762Z [inf]  2025-10-27 13:52:22,531 - src.strategies.ict_strategy - DEBUG - DIAUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T13:52:31.913298811Z [inf]  2025-10-27 13:52:22,713 - src.strategies.ict_strategy - DEBUG - LINKUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913301045Z [inf]  2025-10-27 13:52:22,336 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913303434Z [inf]  2025-10-27 13:52:22,589 - src.strategies.ict_strategy - DEBUG - FFUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913304612Z [inf]  2025-10-27 13:52:22,613 - src.strategies.ict_strategy - DEBUG - ZENUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T13:52:31.913313287Z [inf]  2025-10-27 13:52:22,336 - src.services.data_service - DEBUG - ✅ 緩存命中: EDENUSDT 5m
2025-10-27T13:52:31.913316047Z [inf]  2025-10-27 13:52:22,835 - src.strategies.ict_strategy - DEBUG - AVAXUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913316931Z [inf]  2025-10-27 13:52:22,615 - src.strategies.ict_strategy - DEBUG - AVNTUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913317307Z [inf]  2025-10-27 13:52:22,714 - src.strategies.ict_strategy - DEBUG - PENGUUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913318470Z [inf]  2025-10-27 13:52:22,589 - src.strategies.ict_strategy - DEBUG - DEGOUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-27T13:52:31.913323136Z [inf]  2025-10-27 13:52:22,625 - src.strategies.ict_strategy - DEBUG - APRUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913330186Z [inf]  2025-10-27 13:52:22,616 - src.strategies.ict_strategy - DEBUG - WLDUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913332753Z [inf]  2025-10-27 13:52:22,746 - src.strategies.ict_strategy - DEBUG - 1000PEPEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-27T13:52:31.913333233Z [inf]  2025-10-27 13:52:22,336 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913338569Z [inf]  2025-10-27 13:52:23,027 - src.strategies.ict_strategy - DEBUG - BLUAIUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913340346Z [inf]  2025-10-27 13:52:22,627 - src.strategies.ict_strategy - DEBUG - UBUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T13:52:31.913341469Z [inf]  2025-10-27 13:52:22,869 - src.strategies.ict_strategy - DEBUG - AIXBTUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
