2025-11-06T00:35:14.816086097Z [inf]  2025-11-06 00:35:14,810 - src.strategies.rule_based_signal_generator - INFO -    M5趨勢: bullish=185, bearish=1780, neutral=1485
2025-11-06T00:35:14.816091552Z [inf]  2025-11-06 00:35:14,810 - src.strategies.rule_based_signal_generator - INFO -    市場結構: bullish=1114, bearish=1761, neutral=575
2025-11-06T00:35:14.816097124Z [inf]  2025-11-06 00:35:14,810 - src.strategies.rule_based_signal_generator - INFO -    ⚠️ 建議啟用RELAXED_SIGNAL_MODE=true增加信號數量
2025-11-06T00:35:14.833912926Z [inf]  2025-11-06 00:35:14,832 - src.strategies.self_learning_trader - INFO - 🎓 HYPERUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:14.862873741Z [inf]  2025-11-06 00:35:14,856 - src.strategies.self_learning_trader - INFO - 🎓 FISUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:14.881998459Z [inf]  2025-11-06 00:35:14,879 - src.strategies.self_learning_trader - INFO - 🎓 JSTUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:14.882007686Z [inf]  2025-11-06 00:35:14,879 - src.strategies.self_learning_trader - WARNING - ⚠️ JSTUSDT SL/TP 無效: 止損距離過小: 0.17% < 0.30%，使用安全值
2025-11-06T00:35:14.913730414Z [inf]  2025-11-06 00:35:14,903 - src.strategies.self_learning_trader - INFO - 🎓 SIGNUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:14.943725144Z [inf]  2025-11-06 00:35:14,940 - src.core.unified_scheduler - INFO - ⏱️  進度: 384/532 | 已分析=384 | 平均分析=24.9ms | 平均數據=0.4ms
2025-11-06T00:35:14.963492358Z [inf]  2025-11-06 00:35:14,954 - src.core.elite.unified_data_pipeline - INFO - ✅ 批量数据获取完成: 64个symbols | 成功64 | 失败0 | 耗时0.01秒 | 平均0.2ms/symbol
2025-11-06T00:35:14.963509304Z [inf]  2025-11-06 00:35:14,954 - src.core.unified_scheduler - INFO - ⏱️  批次 7: 64个symbols数据获取完成，耗时0.01秒
2025-11-06T00:35:15.034560900Z [inf]  2025-11-06 00:35:15,022 - src.strategies.self_learning_trader - INFO - 🎓 HAEDALUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.075672943Z [inf]  2025-11-06 00:35:15,070 - src.strategies.self_learning_trader - INFO - 🎓 ASRUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.096329947Z [inf]  2025-11-06 00:35:15,094 - src.strategies.self_learning_trader - INFO - 🎓 ALPINEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.125258657Z [inf]  2025-11-06 00:35:15,119 - src.strategies.self_learning_trader - INFO - 🎓 B2USDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.155588531Z [inf]  2025-11-06 00:35:15,149 - src.strategies.self_learning_trader - INFO - 🎓 MILKUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.176116120Z [inf]  2025-11-06 00:35:15,174 - src.strategies.self_learning_trader - INFO - 🎓 SYRUPUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.205646797Z [inf]  2025-11-06 00:35:15,199 - src.strategies.self_learning_trader - INFO - ❌ OBOLUSDT 拒絕開倉: 信心度不足: 23.1% < 25.0% | 勝率=51.9% 信心=23.1% R:R=1.50
2025-11-06T00:35:15.225714431Z [inf]  2025-11-06 00:35:15,223 - src.strategies.self_learning_trader - INFO - 🎓 DOODUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.255593727Z [inf]  2025-11-06 00:35:15,249 - src.strategies.self_learning_trader - INFO - 🎓 OGUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.635658996Z [inf]  2025-11-06 00:35:15,278 - src.strategies.self_learning_trader - INFO - 🎓 ZKJUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.635666849Z [inf]  2025-11-06 00:35:15,307 - src.strategies.self_learning_trader - INFO - 🎓 SKYAIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.635674454Z [inf]  2025-11-06 00:35:15,338 - src.strategies.self_learning_trader - INFO - 🎓 NXPCUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.635682737Z [inf]  2025-11-06 00:35:15,338 - src.strategies.rule_based_signal_generator - INFO - 📊 Pipeline進度快照（已掃描400個）
2025-11-06T00:35:15.635694026Z [inf]  2025-11-06 00:35:15,338 - src.strategies.rule_based_signal_generator - INFO -    Stage1驗證: 有效=399, 拒絕=0
2025-11-06T00:35:15.635703812Z [inf]  2025-11-06 00:35:15,338 - src.strategies.rule_based_signal_generator - INFO -    Stage3方向: 有=258, 無=141
2025-11-06T00:35:15.635711804Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - ================================================================================
2025-11-06T00:35:15.635719615Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - 📊 Pipeline診斷報告（已掃描400個交易對）
2025-11-06T00:35:15.635727414Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - ================================================================================
2025-11-06T00:35:15.635734883Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage0 - 總掃描數: 400
2025-11-06T00:35:15.635745723Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage1 - 數據驗證: 有效=400, 拒絕=0
2025-11-06T00:35:15.635753445Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          拒絕率: 0.0%
2025-11-06T00:35:15.639556337Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage2 - 趨勢判斷: 成功=400
2025-11-06T00:35:15.639562102Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage3 - 信號方向:
2025-11-06T00:35:15.639566611Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          有方向=259, 無方向=141
2025-11-06T00:35:15.639571421Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          優先級1(完美對齊)=48
2025-11-06T00:35:15.639575548Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          優先級2(H1+M15)=36
2025-11-06T00:35:15.639580451Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          優先級3(趨勢初期)=6
2025-11-06T00:35:15.639584991Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          優先級4(H1主導-寬鬆)=150
2025-11-06T00:35:15.639589821Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          優先級5(M15+M5-寬鬆)=19
2025-11-06T00:35:15.639594077Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage4 - ADX過濾（v3.18.10+ 3層懲罰機制）:
2025-11-06T00:35:15.639598564Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          ADX<10(硬拒絕)=0
2025-11-06T00:35:15.639603155Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          ADX 10-15(強懲罰×0.6)=0
2025-11-06T00:35:15.639607192Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          ADX 15-20(中懲罰×0.8)=0
2025-11-06T00:35:15.639611888Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          ADX≥20(通過)=259
2025-11-06T00:35:15.640297859Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - ADX分布:
2025-11-06T00:35:15.640304532Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage7 - 雙門檻驗證:
2025-11-06T00:35:15.640305587Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          <10: 0
2025-11-06T00:35:15.640313514Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          10-15: 0
2025-11-06T00:35:15.640318727Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          通過=0
2025-11-06T00:35:15.640320634Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          15-20: 0
2025-11-06T00:35:15.640326041Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          20-25: 0
2025-11-06T00:35:15.640330853Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          ≥25: 259
2025-11-06T00:35:15.640331841Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          拒絕(勝率不足)=0
2025-11-06T00:35:15.640336444Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          🔥 ADX<10占比: 0.0% ← 硬拒絕
2025-11-06T00:35:15.640339593Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          拒絕(信心不足)=0
2025-11-06T00:35:15.640343348Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          🔥 ADX<15占比: 0.0% ← 包含強懲罰區間
2025-11-06T00:35:15.640348965Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage5 - 信心度計算: 259
2025-11-06T00:35:15.640354024Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage6 - 勝率計算: 259
2025-11-06T00:35:15.645982315Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          拒絕(R:R超範圍)=0
2025-11-06T00:35:15.645992159Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage8 - 質量評分:
2025-11-06T00:35:15.646000471Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          通過(quality≥門檻)=0
2025-11-06T00:35:15.646008310Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          拒絕(quality<門檻)=0
2025-11-06T00:35:15.646021986Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - Stage9 - 排序&執行:
2025-11-06T00:35:15.646036277Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          排序候選=0
2025-11-06T00:35:15.646047005Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO -          最終執行=0
2025-11-06T00:35:15.646054858Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - 
2025-11-06T00:35:15.646063957Z [inf]  2025-11-06 00:35:15,369 - src.strategies.rule_based_signal_generator - INFO - 🎯 Pipeline完整漏斗轉化率: 0.00% (0/400)
2025-11-06T00:35:15.646073831Z [inf]  2025-11-06 00:35:15,370 - src.strategies.rule_based_signal_generator - INFO - ================================================================================
2025-11-06T00:35:15.646080468Z [inf]  2025-11-06 00:35:15,370 - src.strategies.self_learning_trader - INFO - 🎓 CVCUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.646087518Z [inf]  2025-11-06 00:35:15,396 - src.strategies.self_learning_trader - INFO - 🎓 AGTUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.646094648Z [inf]  2025-11-06 00:35:15,451 - src.strategies.self_learning_trader - INFO - ❌ SOONUSDT 拒絕開倉: 信心度不足: 19.5% < 25.0% | 勝率=45.8% 信心=19.5% R:R=1.50
2025-11-06T00:35:15.648657362Z [inf]  2025-11-06 00:35:15,480 - src.strategies.self_learning_trader - INFO - 🎓 HUMAUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:15.648669150Z [inf]  2025-11-06 00:35:15,501 - src.strategies.self_learning_trader - INFO - 🎓 AUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.160806621Z [inf]  2025-11-06 00:35:16,136 - src.strategies.self_learning_trader - INFO - 🎓 SOPHUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.164209126Z [inf]  2025-11-06 00:35:16,159 - src.strategies.self_learning_trader - INFO - 🎓 MERLUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.230827599Z [inf]  2025-11-06 00:35:16,229 - src.strategies.self_learning_trader - INFO - 🎓 PUFFERUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.261673726Z [inf]  2025-11-06 00:35:16,253 - src.strategies.self_learning_trader - INFO - ❌ PORT3USDT 拒絕開倉: 信心度不足: 9.6% < 25.0% | 勝率=45.0% 信心=9.6% R:R=1.50
2025-11-06T00:35:16.278836728Z [inf]  2025-11-06 00:35:16,277 - src.strategies.self_learning_trader - INFO - 🎓 1000000BOBUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.669975935Z [inf]  2025-11-06 00:35:16,302 - src.strategies.self_learning_trader - INFO - ❌ LAUSDT 拒絕開倉: 信心度不足: 20.5% < 25.0% | 勝率=51.2% 信心=20.5% R:R=1.50
2025-11-06T00:35:16.669983345Z [inf]  2025-11-06 00:35:16,345 - src.strategies.self_learning_trader - INFO - 🎓 HOMEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.669990456Z [inf]  2025-11-06 00:35:16,369 - src.strategies.self_learning_trader - INFO - 🎓 RESOLVUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.670006980Z [inf]  2025-11-06 00:35:16,393 - src.strategies.self_learning_trader - INFO - 🎓 TAIKOUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.670014851Z [inf]  2025-11-06 00:35:16,496 - src.strategies.self_learning_trader - INFO - 🎓 FUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.670021591Z [inf]  2025-11-06 00:35:16,524 - src.strategies.self_learning_trader - INFO - 🎓 NEWTUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.670027455Z [inf]  2025-11-06 00:35:16,558 - src.strategies.self_learning_trader - INFO - 🎓 DMCUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.670033042Z [inf]  2025-11-06 00:35:16,588 - src.strategies.self_learning_trader - INFO - ❌ HUSDT 拒絕開倉: 信心度不足: 24.8% < 25.0% | 勝率=47.4% 信心=24.8% R:R=1.50
2025-11-06T00:35:16.670041815Z [inf]  2025-11-06 00:35:16,614 - src.strategies.self_learning_trader - INFO - 🎓 OLUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.670047266Z [inf]  2025-11-06 00:35:16,642 - src.strategies.self_learning_trader - INFO - 🎓 SAHARAUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.732197451Z [inf]  2025-11-06 00:35:16,727 - src.strategies.self_learning_trader - INFO - 🎓 MUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.751765651Z [inf]  2025-11-06 00:35:16,750 - src.strategies.self_learning_trader - INFO - 🎓 TANSSIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.782566288Z [inf]  2025-11-06 00:35:16,772 - src.strategies.self_learning_trader - INFO - 🎓 PUMPUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.802122271Z [inf]  2025-11-06 00:35:16,794 - src.strategies.self_learning_trader - INFO - 🎓 CROSSUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:16.872014853Z [inf]  2025-11-06 00:35:16,862 - src.strategies.self_learning_trader - INFO - ❌ VELVETUSDT 拒絕開倉: 信心度不足: 18.9% < 25.0% | 勝率=45.0% 信心=18.9% R:R=1.50
2025-11-06T00:35:16.888816256Z [inf]  2025-11-06 00:35:16,887 - src.strategies.self_learning_trader - INFO - 🎓 TACUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
