2025-11-06T10:38:25.183729123Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO - Stage6 - 勝率計算: 70
2025-11-06T10:38:25.183729362Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO - 
2025-11-06T10:38:25.183735698Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO - 🎯 Pipeline完整漏斗轉化率: 0.00% (0/100)
2025-11-06T10:38:25.183740217Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO - Stage7 - 雙門檻驗證:
2025-11-06T10:38:25.183745647Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO -          通過=0
2025-11-06T10:38:25.183751750Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO -          拒絕(勝率不足)=0
2025-11-06T10:38:25.183756187Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO - Stage9 - 排序&執行:
2025-11-06T10:38:25.183756898Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO -          拒絕(信心不足)=0
2025-11-06T10:38:25.183764594Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO -          拒絕(R:R超範圍)=0
2025-11-06T10:38:25.183767253Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO -          排序候選=0
2025-11-06T10:38:25.183773883Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO -          最終執行=0
2025-11-06T10:38:25.183783159Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO - Stage8 - 質量評分:
2025-11-06T10:38:25.183788475Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO -          通過(quality≥門檻)=0
2025-11-06T10:38:25.183793641Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO -          拒絕(quality<門檻)=0
2025-11-06T10:38:25.184433628Z [inf]  2025-11-06 10:38:19,892 - src.strategies.self_learning_trader - INFO - 🎓 LUNA2USDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.184440288Z [inf]  2025-11-06 10:38:19,681 - src.strategies.rule_based_signal_generator - INFO - ================================================================================
2025-11-06T10:38:25.184440812Z [inf]  2025-11-06 10:38:19,912 - src.strategies.self_learning_trader - INFO - ❌ LDOUSDT 拒絕開倉: 信心度不足: 24.9% < 25.0% | 勝率=52.5% 信心=24.9% R:R=1.50
2025-11-06T10:38:25.184446779Z [inf]  2025-11-06 10:38:19,681 - src.strategies.self_learning_trader - INFO - 🎓 API3USDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.184451188Z [inf]  2025-11-06 10:38:19,721 - src.strategies.self_learning_trader - INFO - ❌ APEUSDT 拒絕開倉: 信心度不足: 19.2% < 25.0% | 勝率=50.7% 信心=19.2% R:R=1.50
2025-11-06T10:38:25.184455624Z [inf]  2025-11-06 10:38:19,742 - src.strategies.self_learning_trader - INFO - 🎓 WOOUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.184459772Z [inf]  2025-11-06 10:38:19,762 - src.strategies.self_learning_trader - INFO - 🎓 JASMYUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.184464921Z [inf]  2025-11-06 10:38:19,800 - src.strategies.self_learning_trader - INFO - 🎓 INJUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.184469575Z [inf]  2025-11-06 10:38:19,823 - src.strategies.self_learning_trader - INFO - 🎓 STGUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.184473554Z [inf]  2025-11-06 10:38:19,868 - src.strategies.self_learning_trader - INFO - 🎓 1000LUNCUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185451530Z [inf]  2025-11-06 10:38:20,119 - src.strategies.self_learning_trader - INFO - ❌ MINAUSDT 拒絕開倉: 信心度不足: 22.3% < 25.0% | 勝率=51.7% 信心=22.3% R:R=1.50
2025-11-06T10:38:25.185454050Z [inf]  2025-11-06 10:38:19,931 - src.strategies.self_learning_trader - INFO - 🎓 ICPUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185461752Z [inf]  2025-11-06 10:38:20,170 - src.strategies.self_learning_trader - INFO - 🎓 PHBUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185463046Z [inf]  2025-11-06 10:38:19,951 - src.strategies.self_learning_trader - INFO - 🎓 APTUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185470049Z [inf]  2025-11-06 10:38:20,221 - src.strategies.self_learning_trader - INFO - 🎓 CFXUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185471116Z [inf]  2025-11-06 10:38:20,002 - src.strategies.self_learning_trader - INFO - 🎓 FXSUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185477591Z [inf]  2025-11-06 10:38:20,037 - src.strategies.self_learning_trader - INFO - 🎓 MAGICUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185484029Z [inf]  2025-11-06 10:38:20,058 - src.strategies.self_learning_trader - INFO - 🎓 TUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185486051Z [inf]  2025-11-06 10:38:20,273 - src.strategies.self_learning_trader - INFO - 🎓 ACHUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.185492935Z [inf]  2025-11-06 10:38:20,089 - src.strategies.self_learning_trader - INFO - 🎓 HIGHUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186129970Z [inf]  2025-11-06 10:38:20,303 - src.strategies.self_learning_trader - INFO - 🎓 SSVUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186135904Z [inf]  2025-11-06 10:38:20,304 - src.core.unified_scheduler - INFO - ⏱️  進度: 128/532 | 已分析=128 | 平均分析=20.8ms | 平均數據=9.8ms
2025-11-06T10:38:25.186140016Z [inf]  2025-11-06 10:38:20,326 - src.core.elite.unified_data_pipeline - INFO - ✅ 批量数据获取完成: 64个symbols | 成功64 | 失败0 | 耗时0.02秒 | 平均0.3ms/symbol
2025-11-06T10:38:25.186144246Z [inf]  2025-11-06 10:38:20,326 - src.core.unified_scheduler - INFO - ⏱️  批次 3: 64个symbols数据获取完成，耗时0.02秒
2025-11-06T10:38:25.186148083Z [inf]  2025-11-06 10:38:20,355 - src.strategies.self_learning_trader - INFO - 🎓 CKBUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186152272Z [inf]  2025-11-06 10:38:20,387 - src.strategies.self_learning_trader - INFO - 🎓 PERPUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186157235Z [inf]  2025-11-06 10:38:20,416 - src.strategies.self_learning_trader - INFO - 🎓 TRUUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186161958Z [inf]  2025-11-06 10:38:20,446 - src.strategies.self_learning_trader - INFO - 🎓 LQTYUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186166664Z [inf]  2025-11-06 10:38:20,499 - src.strategies.self_learning_trader - INFO - 🎓 IDUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186172158Z [inf]  2025-11-06 10:38:20,548 - src.strategies.self_learning_trader - INFO - 🎓 JOEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186842683Z [inf]  2025-11-06 10:38:20,567 - src.strategies.self_learning_trader - INFO - 🎓 TLMUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
