2025-11-24T05:13:32.786246389Z [err]  2025-11-24 05:12:31,951 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.786256941Z [err]  2025-11-24 05:12:31,951 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.790649979Z [err]  2025-11-24 05:12:31,951 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.790664640Z [err]  2025-11-24 05:12:31,951 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.795014446Z [err]  2025-11-24 05:12:51,813 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.795074581Z [err]  2025-11-24 05:12:31,952 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.795082033Z [err]  2025-11-24 05:12:31,952 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.799328194Z [err]  2025-11-24 05:12:31,952 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.799350305Z [err]  2025-11-24 05:12:31,952 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.805317556Z [err]  2025-11-24 05:12:31,953 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.805325919Z [err]  2025-11-24 05:12:31,953 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.805333284Z [err]  2025-11-24 05:12:31,953 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.807012950Z [err]  2025-11-24 05:12:51,814 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.810598666Z [err]  2025-11-24 05:12:31,954 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.818156997Z [err]  2025-11-24 05:12:31,955 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.818167114Z [err]  2025-11-24 05:12:31,955 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.818175722Z [err]  2025-11-24 05:12:31,955 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.818183392Z [err]  2025-11-24 05:12:31,955 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
